t_s,T_K,e_Pa,Sw,Si,Ncloud,Nice,r_cloud_m,r_ice_m,drcloud_dt,drice_dt,qcloud,qice,cond_rate_kgm3s,dep_rate_kgm3s,ice_active
0.0,273.15,580.6187428153029,-0.05000000000000009,-0.049927860781880086,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,273.14,580.5974856306058,-0.049345142164729176,-0.04917993010389734,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,273.13,580.5762284459087,-0.048689777487340415,-0.048431353949128196,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,273.12,580.5549712612116,-0.0480339055351244,-0.047682131714072935,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,273.11,580.5337140765145,-0.04737752587496924,-0.04693226279461947,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,273.1,580.5124568918174,-0.04672063807336036,-0.04618174658605309,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,273.09000000000003,580.4911997071202,-0.04606324169637945,-0.04543058248304671,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
7.0,273.08000000000004,580.4699425224231,-0.0454053363097055,-0.044678769879672044,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
8.0,273.07000000000005,580.448685337726,-0.04474692147861247,-0.04392630816938396,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,273.06000000000006,580.4274281530289,-0.04408799676797039,-0.043173196745034,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,273.05000000000007,580.4061709683318,-0.04342856174224442,-0.04241943499886542,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,273.0400000000001,580.3849137836347,-0.04276861596549415,-0.04166502232250224,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,273.0300000000001,580.3636565989376,-0.04210815900137394,-0.040909958106968444,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,273.0200000000001,580.3423994142405,-0.041447190413131836,-0.04015424174267002,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,273.0100000000001,580.3211422295434,-0.04078570976360901,-0.039397872619394946,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,273.0000000000001,580.2998850448463,-0.040123716615240515,-0.03864085012632558,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
16.0,272.9900000000001,580.2786278601492,-0.03946121053005343,-0.037883173652034814,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,272.98000000000013,580.2573706754521,-0.038798191069667594,-0.03712484258447153,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
18.0,272.97000000000014,580.236113490755,-0.038134657795294145,-0.036365856310977634,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
19.0,272.96000000000015,580.2148563060579,-0.03747061026773643,-0.0356062142182661,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
20.0,272.95000000000016,580.1935991213608,-0.03680604804738837,-0.034845915692447486,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
21.0,272.94000000000017,580.1723419366637,-0.03614097069423461,-0.03408496011901254,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
22.0,272.9300000000002,580.1510847519666,-0.03547537776784999,-0.03332334688282555,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
23.0,272.9200000000002,580.1298275672694,-0.03480926882739916,-0.03256107536814083,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
24.0,272.9100000000002,580.1085703825723,-0.03414264343163641,-0.03179814495859027,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
25.0,272.9000000000002,580.0873131978752,-0.03347550113890472,-0.031034555037194187,0.0,0.0,1e-06,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
